mid,type,asw,paperid,user,pixrad,nmodels,z_lens_used,z_src_used,m<R,glsv,lmtv,pxscale,z_lens_real,z_src_real,corrected_mass
000291,old,ASW00051ld,SW34,jasonjason,7,200,0.5,1.0,1.29825087841e+12,,,,0.5,1.7,875847712668.0
000474,old,ASW0002dx7,SW20,jasonjason,8,200,0.5,1.0,3.59941047697e+12,,,,0.3,2.0,1.4625271446e+12
000896,old,ASW0002k40,SW44,Capella05,8,200,0.5,1.0,1.15513913643e+13,,,,0.4,1.3,6.22043413316e+12
000899,old,ASW0002k40,SW44,Capella05,8,200,0.5,1.0,1.16786019471e+13,,,,0.4,1.3,6.28893714082e+12
001447,old,ASW0004dv8,SW01,jasonjason,8,200,0.36,1.03,4.29945716068e+12,,,,0.0,3.0,0
001750,old,ASW00024id,SW45,Tom Collett,8,200,0.5,1.0,4.58777758475e+12,,,,0.8,1.3,5.24247418204e+12
001774,old,ASW00024id,SW45,jasonjason,12,200,0.5,1.0,3.18236242911e+12,,,,0.8,1.3,3.63649993146e+12
002026,old,ASW00024id,SW45,psaha,8,200,0.5,1.0,4.49496750541e+12,,,,0.8,1.3,5.13641968489e+12
002030,old,ASW00024id,SW45,psaha,8,200,0.5,1.0,4.87454983167e+12,,,,0.8,1.3,5.57017012475e+12
002125,old,ASW0004iye,SW32,jasonjason,11,200,0.5,1.0,4.72952665977e+12,,,,0.0,1.7,0
002131,old,ASW0004iye,SW32,jasonjason,9,200,0.5,1.0,3.95426414514e+12,,,,0.0,1.7,0
002132,old,ASW0004iye,SW32,jasonjason,9,200,0.5,1.0,4.04567897174e+12,,,,0.0,1.7,0
002133,old,ASW00024id,SW45,Budgieye,8,200,0.5,1.0,4.37873292528e+12,,,,0.8,1.3,5.00359790481e+12
002141,old,ASW0004iye,SW32,jasonjason,9,200,0.5,1.0,2.87449991448e+12,,,,0.0,1.7,0
002142,old,ASW0004iye,SW32,jasonjason,9,200,0.5,1.0,2.71190147854e+12,,,,0.0,1.7,0
002248,old,ASW0002asp,SW09,Capella05,8,200,0.5,1.0,1.20923015088e+12,,,,1.0,2.3,1.88049339669e+12
002360,old,ASW0004iye,SW32,psaha,8,200,0.5,1.0,6.73908171935e+12,,,,0.0,1.7,0
002421,old,ASW0002asp,SW09,jon273,8,200,0.5,1.0,2.68390221276e+12,,,,1.0,2.3,4.17377980924e+12
002478,old,ASW0003r61,SW23,Capella05,8,200,0.5,1.0,4.30709444994e+12,,,,0.6,2.0,3.5235238405e+12
002481,old,ASW0003r61,SW23,jon273,8,200,0.5,1.0,4.43996035653e+12,,,,0.6,2.0,3.63221804141e+12
003972,old,ASW0002asp,SW09,psaha,12,200,0.5,1.0,2.06208640291e+12,,,,1.0,2.3,3.20678397016e+12
004506,old,ASW0004dv8,SW01,c_cld,8,200,0.5,1.0,1.01197645023e+13,2,0.0.0,,0.0,3.0,0
004516,old,ASW0004dv8,SW01,Capella05,8,200,0.5,1.0,6.68534730673e+12,2,0.0.0,,0.0,3.0,0
