gls_ver,pixrad,asw,pixscale,swid,n_models,Mtot_ens_ave,mid,z_src_used,z_lens_used,created_on,Mtot_min,Mtot_min_z_corrected,user,Mtot_ens_ave_z_corrected,lmt_ver,z_lens_actual,type,Mtot_max,Mtot_max_z_corrected
4,12,ASW0009ab8,0.16456,SW22,200,1.06354507888e+12,12298,1.2,0.31,2014-01-20 09:57:36,1.01390033129e+12,1.149317383e+12,c_cld,1.20559270871e+12,1.6.3,0.4,old,1.10772704737e+12,1.25567564373e+12,
5,8,ASW0005rnb,0.16456,SW17,200,1.78754576771e+12,AJE7QIXXPA,1.0,0.5,2015-06-12 18:22:30,1.56934557038e+12,1.52631476807e+12,psaha,1.73853200682e+12,2.0.0,0.7,new,2.0125948662e+12,1.9574103527e+12,
5,10,ASW0007hu2,0.16456,SW18,200,1.34461067246e+12,D4UQI6M3ZU,1.0,0.5,2015-04-25 18:14:21,1.25162541924e+12,1.21730637123e+12,Capella05,1.30774200751e+12,2.0.0,0.7,new,1.44007447167e+12,1.40058822908e+12,
5,12,ASW00097xm,0.16456,----,200,808905177616.0,BWURZ5RWCG,0.8,0.19,2015-05-01 15:51:13,753803953869.0,753803953869.0,c_cld,808905177616.0,2.0.0,0.0,new,891631884976.0,891631884976.0,
5,8,ASW0008xbu,0.16456,SW41,200,1.06245506902e+12,BFXRMIQEAT,1.0,0.5,2015-04-25 13:31:35,942183206763.0,507366462982.0,ElisabethB,572132963714.0,2.0.0,0.4,new,1.19865823299e+12,645478484045.0,
5,12,ASW0009ab8,0.16456,SW22,200,2.21294771277e+12,TGM4U2TZBS,1.0,0.5,2015-07-15 14:11:12,2.04342050469e+12,1.10038369014e+12,L,1.19167423674e+12,2.0.0,0.4,new,2.39555382949e+12,1.29000778683e+12,
5,10,ASW00008a0,0.16456,SW50,200,4.76534540366e+12,5WB7AO4WUY,1.0,0.5,2015-04-25 17:20:27,4.32126320071e+12,0.0,Capella05,0.0,2.0.0,0.0,new,5.17993254053e+12,0.0,
5,10,ASW00097xm,0.16456,----,200,993991533557.0,KJQD6WG5JR,0.7,0.19,2015-05-01 15:27:20,906627037045.0,906627037045.0,c_cld,993991533557.0,2.0.0,0.0,new,1.10867856401e+12,1.10867856401e+12,
5,8,ASW0000101,0.16456,----,200,2.44222441823e+14,Y7546JICSR,1.0,0.5,2015-04-23 21:48:41,2.11154357431e+14,0.0,rk,0.0,2.0.0,0.0,new,2.84635094957e+14,0.0,
5,12,ASW0009c7u,0.16456,----,200,1.68507652335e+14,LRK72V4T74,1.0,0.61,2015-05-07 16:04:16,1.5233177146e+14,0.0,c_cld,0.0,2.0.0,0.0,new,1.82314948208e+14,0.0,
-1,11,ASW0004iye,0.0,SW32,200,4.72952665977e+12,2125,1.0,0.5,2013-06-27 03:18:48,4.40989170918e+12,0.0,jasonjason,0.0,,0.0,old,4.96922480413e+12,0.0,
-1,9,ASW0004iye,0.0,SW32,200,3.95426414514e+12,2131,1.0,0.5,2013-06-27 09:00:48,3.51423264858e+12,0.0,jasonjason,0.0,,0.0,old,4.31553115851e+12,0.0,
-1,9,ASW0004iye,0.0,SW32,200,4.04567897174e+12,2132,1.0,0.5,2013-06-27 09:17:43,3.67737638991e+12,0.0,jasonjason,0.0,,0.0,old,4.45876944364e+12,0.0,
-1,8,ASW00024id,0.0,SW45,200,4.37873292528e+12,2133,1.0,0.5,2013-06-27 09:19:05,3.86770387981e+12,4.4196427048e+12,Budgieye,5.00359790481e+12,,0.8,old,4.9668245398e+12,5.6756128508e+12,
5,12,ASW0006hn5,0.16456,----,200,1.69592014694e+12,CQOFN27HYZ,0.8,0.37,2015-04-27 16:50:00,1.54673706886e+12,1.54673706886e+12,c_cld,1.69592014694e+12,2.0.0,0.0,new,1.84984490218e+12,1.84984490218e+12,
-1,9,ASW0004iye,0.0,SW32,200,2.87449991448e+12,2141,1.0,0.5,2013-06-27 09:34:46,2.55487197462e+12,0.0,jasonjason,0.0,,0.0,old,3.31542654319e+12,0.0,
-1,9,ASW0004iye,0.0,SW32,200,2.71190147854e+12,2142,1.0,0.5,2013-06-27 09:41:08,2.40842551073e+12,0.0,jasonjason,0.0,,0.0,old,3.01072008741e+12,0.0,
5,12,ASW00099ed,0.16456,SW08,200,1.67654710122e+12,D3Z2LT7UEY,1.0,0.5,2015-05-11 13:45:18,1.55537444038e+12,1.77733340304e+12,c_cld,1.91579795026e+12,2.0.0,0.8,new,1.82555988836e+12,2.08607553564e+12,
5,12,ASW0002dx7,0.16456,SW20,200,2.39393868695e+12,3NYJG67KRT,1.0,0.5,2015-07-16 08:15:57,2.24758527962e+12,913248017222.0,L,972714930566.0,2.0.0,0.3,new,2.59514864057e+12,1.05447137952e+12,
4,11,ASW0007k4r,0.16456,SW05,200,1.46294666877e+13,12400,1.0,0.5,2014-04-24 15:50:14,1.3718880663e+13,1.12230654895e+13,c_cld,1.19679926334e+13,1.6.3,0.6,old,1.54134098535e+13,1.26093164925e+13,
4,12,ASW0007k4r,0.16456,SW05,200,1.37138128853e+13,12401,1.0,0.5,2014-04-24 15:53:43,1.30265937178e+13,1.06567232409e+13,c_cld,1.12189196702e+13,1.6.3,0.6,old,1.45294545268e+13,1.18861752417e+13,
4,12,ASW0007k4r,0.16456,SW05,200,1.39080770463e+13,12402,1.0,0.5,2014-04-24 16:00:01,1.29975915595e+13,1.06329973167e+13,c_cld,1.13778422131e+13,1.6.3,0.6,old,1.45414936792e+13,1.18960241644e+13,
