SW01 ,ASW0004dv8 ,009951 
SW02 ,ASW000619d ,011421 
SW04 ,ASW0009cjs ,011763 
SW05 ,ASW0007k4r ,012771 
SW06 ,ASW0008swn ,012373 
SW07 ,ASW0007e08 ,007959 
SW11 ,ASW0002qtn ,FFIENOES3L 
,,
SW12 ,ASW0003wsu ,012712 
,,
SW13 ,ASW0009ans ,013399 
SW15 ,ASW0004nan ,013410 
SW16 ,ASW0009bp2 ,013421 
,,
SW19 ,ASW0001ld7 ,L5TWWXPEJV 
SW20 ,ASW0002dx7 ,013274 
SW21 ,ASW0004m3x ,QZROE23AUH 
SW22 ,ASW0009ab8 ,012298 
SW24 ,ASW00050sk ,013406 
SW25 ,ASW0000717 ,013416 
,,
SW26 ,ASW0005mp6 ,O2IUZZQD7A 
SW27 ,ASW0006jh5 ,013428 
SW27 ,ASW0006jh5 ,GSI5A6JUYX 
SW28 ,ASW0007wfj ,008758 
SW29 ,ASW0008qsm ,TQKS2E5S7H 
SW29 ,ASW0008qsm ,2SU75GA4XN 
SW31 ,ASW00021r0 ,Y4NEUEI45Y 
SW32 ,ASW0004iye ,006709 
SW42 ,ASW00096rm ,011717 
SW43 ,ASW0001c3j ,013252 
,,
SW45 ,ASW00024id ,EL3RTBLAWB 
SW46 ,ASW00024q6 ,012523 
SW49 ,ASW00007ls ,KEDFRTYJXH 
SW51 ,ASW0006e0o ,013056 
SW52 ,ASW0006a07 ,013589 
SW52 ,ASW0006a07 ,013589 
SW54 ,ASW0007sez ,CCZG2QBCV3 
,,
SW55 ,ASW0007t5y ,G7O3HCHKYL 
SW58 ,ASW0007h27 ,008897 
