pixrad,asw,n_models,mid,z_src_used,z_lens_used,user,swid
,ASW0007pga,,VHV6RQYYKZ,,,Capella05,SW56,
,ASW0007sez,,SI4ELBAKL2,,,ElisabethB,SW54,
8,ASW0004dv8,200,4617,1.0,0.5,Budgieye,SW01,
8,ASW0004dv8,200,5130,1.0,0.5,KhalilaRedBird,SW01,
8,ASW0004dv8,200,4625,1.0,0.5,Budgieye,SW01,
9,ASW0004dv8,200,4628,0.65,0.25,c_cld,SW01,
12,ASW0004dv8,200,5653,1.0,0.5,ElisabethB,SW01,
12,ASW0004dv8,300,7193,1.0,0.4,c_cld,SW01,
9,ASW0004dv8,300,7195,1.0,0.4,c_cld,SW01,
,ASW0007hu2,,D4UQI6M3ZU,,,Capella05,SW18,
12,ASW0004dv8,300,7200,1.0,0.4,c_cld,SW01,
12,ASW0004dv8,300,7202,1.8,0.4,c_cld,SW01,
8,ASW0004dv8,200,6691,1.0,0.5,jasonjason,SW01,
9,ASW0001c3j,200,13248,1.0,0.5,c_cld,SW43,
11,ASW0004dv8,200,6694,1.0,0.5,jasonjason,SW01,
9,ASW0004dv8,200,4648,1.0,0.5,Capella05,SW01,
12,ASW0004dv8,300,7261,1.0,0.5,jasonjason,SW01,
,ASW0000g95,,XF5TQSXZDQ,,,Capella05,SW48,
12,ASW0004iye,200,6709,0.9,0.3,c_cld,SW32,
11,ASW00047ae,200,6789,0.9,0.5,c_cld,SW13,
12,ASW0009ab8,200,12298,1.2,0.31,c_cld,SW22,
,ASW000096t,,7IPP7LWVOF,,,Capella05,SW36,
11,ASW0009ab8,200,11332,1.0,0.5,c_cld,SW22,
12,ASW0004dv8,200,7350,1.0,0.5,Capella05,SW01,
12,ASW0009ab8,200,11334,1.0,0.5,c_cld,SW22,
9,ASW0004dv8,200,12359,1.0,0.5,Phil,SW01,
8,ASW0004dv8,200,4681,1.0,0.5,ElisabethB,SW01,
12,ASW0004dv8,300,7242,1.1,0.4,c_cld,SW01,
11,ASW0004iye,200,2125,1.0,0.5,jasonjason,SW32,
8,ASW0004dv8,200,4686,1.0,0.5,Capella05,SW01,
9,ASW0004iye,200,2131,1.0,0.5,jasonjason,SW32,
9,ASW0004iye,200,2132,1.0,0.5,jasonjason,SW32,
8,ASW00024id,200,2133,1.0,0.5,Budgieye,SW45,
,ASW0009cox,,5P5PSM2PUJ,,,ElisabethB,----,
12,ASW0004dv8,300,7258,1.1,0.4,c_cld,SW01,
9,ASW0004iye,200,2141,1.0,0.5,jasonjason,SW32,
11,ASW00050sk,200,13406,1.0,0.5,c_cld,SW24,
11,ASW0004dv8,200,4705,0.65,0.25,c_cld,SW01,
11,ASW0004nan,200,13410,1.0,0.5,c_cld,SW15,
8,ASW0004dv8,200,11363,1.0,0.5,Capella05,SW01,
8,ASW0004dv8,200,11364,1.0,0.5,Capella05,SW01,
8,ASW0004dv8,200,11365,1.0,0.5,Capella05,SW01,
8,ASW0004dv8,200,11366,1.0,0.5,Capella05,SW01,
8,ASW0004dv8,200,4711,1.0,0.5,ElisabethB,SW01,
12,ASW0004dv8,200,11368,1.0,0.5,Capella05,SW01,
11,ASW0004dv8,200,4713,0.65,0.25,c_cld,SW01,
12,ASW0004dv8,200,11370,1.0,0.5,Capella05,SW01,
12,ASW0004dv8,300,11371,1.0,0.5,Capella05,SW01,
12,ASW0004dv8,200,11372,1.0,0.5,Capella05,SW01,
12,ASW0009bp2,200,13421,1.0,0.5,c_cld,SW16,
